arrival,departure,time
Sta90,Sta141,1080
Sta108,Sta71,2160
Sta86,Sta126,1020
Sta138,Sta56,1800
Sta16,Sta41,2640
Sta65,Sta46,3900
Sta114,Sta107,1980
Sta81,Sta119,3600
Sta61,Sta138,1380
Sta89,Sta163,1980
Sta111,Sta152,1140
Sta90,Sta5,1800
Sta92,Sta20,1800
Sta41,Sta162,1680
Sta67,Sta60,1500
Sta93,Sta46,1020
Sta90,Sta111,1200
Sta111,Sta12,3780
Sta129,Sta3,1020
Sta136,Sta168,1920
Sta158,Sta22,3120
Sta105,Sta41,2700
Sta79,Sta29,1020
Sta115,Sta36,2160
Sta88,Sta73,4380
Sta17,Sta62,1560
Sta26,Sta28,3060
Sta9,Sta155,1800
Sta135,Sta34,3480
Sta168,Sta126,1200
Sta42,Sta54,3060
Sta140,Sta130,3120
Sta112,Sta65,7260
Sta47,Sta67,1020
Sta104,Sta157,5160
Sta108,Sta162,1380
Sta20,Sta88,3000
Sta12,Sta22,1020
Sta166,Sta23,2220
Sta20,Sta25,1980
Sta12,Sta31,3360
Sta99,Sta30,1800
Sta82,Sta56,1260
Sta137,Sta157,2100
Sta94,Sta85,1440
Sta100,Sta147,1440
Sta118,Sta25,1500
Sta123,Sta129,1020
Sta5,Sta156,2520
Sta37,Sta146,2580
Sta97,Sta9,1800
Sta81,Sta61,2760
Sta135,Sta146,1920
Sta76,Sta154,2220
Sta162,Sta5,1020
Sta90,Sta54,1020
Sta137,Sta37,1380
Sta66,Sta81,3240
Sta38,Sta81,1800
Sta132,Sta16,1020
Sta46,Sta80,2280
Sta168,Sta59,1020
Sta146,Sta65,4200
Sta162,Sta55,1020
Sta87,Sta9,10740
Sta129,Sta113,2160
Sta120,Sta25,1020
Sta126,Sta19,1920
Sta90,Sta114,1020
Sta146,Sta28,4560
Sta162,Sta11,4020
Sta159,Sta167,1800
Sta149,Sta151,3780
Sta55,Sta152,1140
Sta61,Sta47,1800
Sta12,Sta87,4800
Sta29,Sta110,2100
Sta159,Sta123,1020
Sta167,Sta41,1800
Sta21,Sta159,1560
Sta18,Sta17,2100
Sta167,Sta168,1020
Sta30,Sta137,2400
Sta99,Sta29,1800
Sta61,Sta17,3900
Sta30,Sta55,1800
Sta84,Sta58,1440
Sta93,Sta121,4620
Sta146,Sta70,1800
Sta157,Sta114,1080
Sta132,Sta163,2760
Sta163,Sta138,1860
Sta93,Sta126,1440
Sta24,Sta22,3180
Sta156,Sta139,1440
Sta96,Sta89,1980
Sta168,Sta20,1260
Sta87,Sta41,3780
Sta76,Sta155,1260
Sta153,Sta56,3780
Sta83,Sta142,1800
Sta111,Sta136,1800
Sta79,Sta100,1560
Sta117,Sta44,1260
Sta50,Sta121,6660
Sta108,Sta92,1680
Sta94,Sta59,1800
Sta151,Sta47,1020
Sta34,Sta50,1800
Sta161,Sta73,2340
Sta56,Sta22,1800
Sta73,Sta135,1800
Sta99,Sta32,4500
Sta121,Sta135,1800
Sta41,Sta148,1020
Sta62,Sta126,2040
Sta122,Sta167,2880
Sta155,Sta123,1800
Sta1,Sta162,1320
Sta61,Sta148,2760
Sta134,Sta138,1800
Sta81,Sta122,3780
Sta152,Sta87,1440
Sta54,Sta114,1020
Sta86,Sta129,1020
Sta117,Sta157,1980
Sta90,Sta115,1020
Sta63,Sta141,1980
Sta126,Sta163,1020
Sta126,Sta75,2700
Sta132,Sta40,1800
Sta167,Sta117,1020
Sta30,Sta159,1020
Sta9,Sta88,3660
Sta68,Sta151,1260
Sta134,Sta161,3120
Sta146,Sta85,2160
Sta61,Sta102,6960
Sta27,Sta110,2220
Sta22,Sta21,1800
Sta142,Sta1,2400
Sta168,Sta8,2580
Sta160,Sta4,1260
Sta47,Sta125,1800
Sta5,Sta136,3060
Sta44,Sta33,1320
Sta159,Sta9,1020
Sta80,Sta12,3120
Sta145,Sta56,2640
Sta47,Sta41,1200
Sta50,Sta112,5880
Sta167,Sta98,1380
Sta84,Sta142,1020
Sta131,Sta32,2160
Sta14,Sta73,1140
Sta35,Sta153,1020
Sta102,Sta89,3360
Sta17,Sta135,1020
Sta146,Sta72,1020
Sta55,Sta86,1500
Sta74,Sta30,1800
Sta37,Sta83,3900
Sta152,Sta70,1020
Sta88,Sta21,4320
Sta17,Sta101,1140
Sta64,Sta9,2040
Sta119,Sta134,1800
Sta42,Sta106,5400
Sta5,Sta133,1140
Sta54,Sta162,1020
Sta108,Sta118,1500
Sta2,Sta47,3000
Sta148,Sta130,2220
Sta5,Sta28,3840
Sta3,Sta121,4560
Sta162,Sta142,1560
Sta100,Sta158,1020
Sta127,Sta103,3180
Sta122,Sta54,1980
Sta1,Sta120,1500
Sta84,Sta162,1020
Sta142,Sta87,1440
Sta131,Sta47,1440
Sta136,Sta12,4320
Sta12,Sta94,5100
Sta13,Sta20,1080
Sta55,Sta136,1680
Sta83,Sta144,1020
Sta61,Sta26,3900
Sta143,Sta119,1020
Sta23,Sta47,1620
Sta63,Sta37,1800
Sta106,Sta97,1200
Sta35,Sta88,1020
Sta20,Sta120,1800
Sta67,Sta127,1200
Sta59,Sta114,1020
Sta162,Sta111,1440
Sta146,Sta81,2280
Sta147,Sta156,5160
Sta70,Sta100,1740
Sta115,Sta157,1020
Sta137,Sta162,1380
Sta68,Sta139,1020
Sta71,Sta64,2820
Sta20,Sta6,2280
Sta40,Sta15,1020
Sta148,Sta114,1800
Sta60,Sta134,2580
Sta160,Sta107,4560
Sta100,Sta134,1020
Sta129,Sta78,1020
Sta83,Sta127,1020
Sta127,Sta159,1020
Sta32,Sta30,1020
Sta85,Sta74,4380
Sta41,Sta100,1980
Sta41,Sta17,2220
Sta29,Sta156,2760
Sta82,Sta46,2580
Sta137,Sta117,2760
Sta80,Sta156,4020
Sta92,Sta135,1440
Sta57,Sta163,2400
Sta1,Sta68,1680
Sta137,Sta82,1920
Sta141,Sta65,5160
Sta21,Sta67,1020
Sta34,Sta15,3060
Sta143,Sta30,1800
Sta38,Sta162,2460
Sta100,Sta29,1020
Sta127,Sta158,3240
Sta87,Sta39,2400
Sta41,Sta9,1680
Sta102,Sta77,2880
Sta41,Sta145,3060
Sta68,Sta5,1740
Sta55,Sta144,1980
Sta66,Sta34,3780
Sta88,Sta167,2040
Sta78,Sta67,1020
Sta90,Sta100,1020
Sta126,Sta32,1680
Sta36,Sta70,1140
Sta30,Sta66,1200
Sta89,Sta52,2400
Sta144,Sta92,1200
Sta139,Sta18,2340
Sta97,Sta50,3840
Sta29,Sta160,3300
Sta137,Sta72,1920
Sta140,Sta55,1020
Sta88,Sta26,2220
Sta99,Sta136,3300
Sta75,Sta82,1020
Sta146,Sta17,1800
Sta14,Sta54,4080
Sta156,Sta157,4560
Sta48,Sta143,2400
Sta76,Sta146,3360
Sta34,Sta106,180
Sta142,Sta68,1800
Sta47,Sta55,2100
Sta89,Sta38,2700
Sta82,Sta30,1800
Sta41,Sta155,1800
Sta12,Sta23,2640
Sta125,Sta5,1800
Sta162,Sta59,1500
Sta123,Sta51,2460
Sta115,Sta25,1440
Sta36,Sta131,2520
Sta164,Sta114,1980
Sta160,Sta109,1260
Sta93,Sta156,2940
Sta126,Sta139,1800
Sta41,Sta142,2580
Sta141,Sta42,1020
Sta23,Sta155,4080
Sta50,Sta21,1020
Sta64,Sta81,1560
Sta67,Sta160,4020
Sta167,Sta95,1020
Sta24,Sta67,3240
Sta36,Sta32,4080
Sta162,Sta82,1680
Sta139,Sta12,2340
Sta162,Sta74,12180
Sta118,Sta4,1680
Sta87,Sta158,1260
Sta63,Sta164,2580
Sta162,Sta127,1740
Sta49,Sta21,4320
Sta54,Sta9,2160
Sta126,Sta45,2580
Sta5,Sta71,2520
Sta82,Sta118,1440
Sta127,Sta138,1080
Sta156,Sta107,3240
Sta98,Sta121,4200
Sta115,Sta93,1080
Sta118,Sta131,1020
Sta109,Sta41,1800
Sta161,Sta129,1740
Sta153,Sta88,1740
Sta42,Sta11,1560
Sta78,Sta22,1560
Sta30,Sta130,10260
Sta17,Sta5,1560
Sta154,Sta128,1440
Sta136,Sta59,1980
Sta5,Sta92,1380
Sta157,Sta89,1800
Sta129,Sta67,1020
Sta69,Sta26,1020
Sta73,Sta46,1800
Sta49,Sta122,5880
Sta114,Sta65,4260
Sta123,Sta141,2580
Sta115,Sta113,1080
Sta76,Sta161,2940
Sta25,Sta158,2580
Sta69,Sta123,2220
Sta130,Sta108,1980
Sta136,Sta72,2280
Sta9,Sta142,2700
Sta42,Sta167,1320
Sta81,Sta25,1800
Sta55,Sta90,1020
Sta127,Sta66,2040
Sta155,Sta71,1020
Sta136,Sta141,1800
Sta109,Sta1,3720
Sta141,Sta54,1740
Sta68,Sta159,1560
Sta108,Sta163,1200
Sta3,Sta156,2880
Sta13,Sta99,1620
Sta35,Sta54,3300
Sta155,Sta67,1800
Sta35,Sta6,1500
Sta124,Sta86,3600
Sta147,Sta129,3360
Sta44,Sta29,2100
Sta20,Sta101,1020
Sta130,Sta118,1800
Sta73,Sta67,1740
Sta36,Sta23,1740
Sta127,Sta60,1140
Sta142,Sta35,1080
Sta97,Sta47,1140
Sta73,Sta95,2460
Sta104,Sta1,3420
Sta92,Sta41,1020
Sta132,Sta4,2880
Sta167,Sta15,1020
Sta40,Sta7,2880
Sta131,Sta117,1500
Sta36,Sta86,2700
Sta20,Sta99,1800
Sta56,Sta31,1020
Sta89,Sta15,1740
Sta107,Sta82,1800
Sta86,Sta152,3180
Sta124,Sta140,1560
Sta134,Sta101,1380
Sta125,Sta127,5340
Sta126,Sta6,3540
Sta6,Sta84,2520
Sta41,Sta74,3300
Sta98,Sta86,1380
Sta41,Sta91,1020
Sta29,Sta151,1800
Sta160,Sta98,3540
Sta129,Sta61,2640
Sta39,Sta1,1500
Sta23,Sta26,1800
Sta37,Sta115,1140
Sta34,Sta154,1020
Sta141,Sta125,2340
Sta122,Sta111,1020
Sta6,Sta120,4620
Sta120,Sta41,1500
Sta95,Sta148,2220
Sta89,Sta92,1800
Sta1,Sta86,1020
Sta129,Sta44,2700
Sta155,Sta52,1560
Sta28,Sta13,1860
Sta139,Sta108,2280
Sta53,Sta107,1320
Sta87,Sta40,1800
Sta90,Sta140,1380
Sta28,Sta90,3240
Sta112,Sta8,2160
Sta65,Sta149,1020
Sta100,Sta83,1800
Sta5,Sta111,2040
Sta65,Sta41,1800
Sta157,Sta108,1800
Sta43,Sta124,3960
Sta31,Sta42,2700
Sta83,Sta47,1140
Sta136,Sta40,1980
Sta87,Sta8,1020
Sta23,Sta6,2520
Sta54,Sta136,1440
Sta56,Sta168,1140
Sta86,Sta87,2520
Sta134,Sta111,12900
Sta115,Sta3,1140
Sta20,Sta41,1800
Sta150,Sta21,2460
Sta150,Sta65,2160
Sta70,Sta98,1560
Sta70,Sta19,2220
Sta55,Sta111,1020
Sta23,Sta160,2820
Sta88,Sta33,1200
Sta99,Sta3,3780
Sta49,Sta1,2940
Sta86,Sta158,1680
Sta61,Sta53,3000
Sta28,Sta22,4800
Sta61,Sta137,4740
Sta162,Sta94,2700
Sta73,Sta100,3120
Sta111,Sta1,2880
Sta167,Sta83,2280
Sta126,Sta152,2460
Sta121,Sta91,4740
Sta76,Sta61,2100
Sta162,Sta136,1800
Sta89,Sta131,1980
Sta114,Sta110,3000
Sta83,Sta118,1740
Sta90,Sta67,2040
Sta49,Sta131,3780
Sta1,Sta29,1020
Sta136,Sta167,1980
Sta34,Sta128,1020
Sta88,Sta6,1020
Sta121,Sta6,1800
Sta65,Sta68,3840
Sta54,Sta41,2100
Sta146,Sta23,1800
Sta126,Sta92,1740
Sta163,Sta158,2640
Sta88,Sta102,1500
Sta23,Sta81,2160
Sta105,Sta156,1020
Sta78,Sta53,1020
Sta11,Sta33,1020
Sta95,Sta53,2520
Sta53,Sta1,1020
Sta134,Sta104,10440
Sta160,Sta6,1020
Sta135,Sta113,1020
Sta100,Sta113,1020
Sta157,Sta67,2040
Sta159,Sta23,1560
Sta40,Sta84,1020
Sta139,Sta154,2760
Sta140,Sta21,3480
Sta14,Sta101,4200
Sta139,Sta56,3540
Sta72,Sta17,1380
Sta94,Sta168,1980
Sta26,Sta6,3000
Sta81,Sta8,5160
Sta106,Sta100,3120
Sta18,Sta81,1020
Sta134,Sta155,1800
Sta18,Sta146,2520
Sta144,Sta100,1440
Sta81,Sta131,1800
Sta115,Sta50,1800
Sta37,Sta67,1800
Sta104,Sta128,1080
Sta158,Sta114,1620
Sta72,Sta161,1980
Sta40,Sta70,1140
Sta163,Sta156,3480
Sta14,Sta114,2700
Sta162,Sta93,1020
Sta141,Sta7,2760
Sta27,Sta115,1740
Sta29,Sta55,1260
Sta76,Sta115,2520
Sta74,Sta155,1800
Sta118,Sta103,1800
Sta65,Sta131,4260
Sta52,Sta83,1620
Sta28,Sta160,4140
Sta78,Sta126,1020
Sta4,Sta121,2520
Sta19,Sta47,3540
Sta108,Sta53,1020
Sta98,Sta27,1140
Sta126,Sta137,1680
Sta35,Sta158,1020
Sta61,Sta65,5340
Sta124,Sta115,1800
Sta73,Sta30,1680
Sta85,Sta117,1800
Sta95,Sta67,1800
Sta32,Sta156,2340
Sta51,Sta30,2700
Sta47,Sta50,2640
Sta127,Sta3,1140
Sta153,Sta100,2760
Sta95,Sta138,1860
Sta89,Sta61,1800
Sta39,Sta5,1200
Sta133,Sta123,2280
Sta93,Sta87,2640
Sta15,Sta90,1020
Sta79,Sta70,2280
Sta114,Sta25,1140
Sta56,Sta77,1500
Sta106,Sta80,1020
Sta155,Sta5,1800
Sta166,Sta20,1920
Sta70,Sta8,1800
Sta86,Sta72,1020
Sta120,Sta22,1800
Sta78,Sta18,10080
Sta32,Sta167,2040
Sta32,Sta157,2520
Sta86,Sta62,1800
Sta4,Sta27,3840
Sta93,Sta44,2160
Sta31,Sta86,1620
Sta71,Sta123,1620
Sta38,Sta118,2820
Sta142,Sta56,1800
Sta53,Sta156,3540
Sta106,Sta151,3060
Sta20,Sta160,2520
Sta158,Sta79,2640
Sta25,Sta37,2460
Sta138,Sta39,1860
Sta46,Sta52,2880
Sta83,Sta114,1860
Sta2,Sta101,1980
Sta126,Sta150,1560
Sta136,Sta118,1500
Sta36,Sta141,3480
Sta89,Sta77,2280
Sta46,Sta137,2040
Sta143,Sta123,3060
Sta95,Sta121,3420
Sta132,Sta127,2940
Sta89,Sta138,1800
Sta5,Sta135,1320
Sta137,Sta84,1140
Sta146,Sta11,5760
Sta108,Sta128,1920
Sta36,Sta17,1980
Sta75,Sta134,2520
Sta64,Sta45,4860
Sta17,Sta79,2460
Sta7,Sta134,1980
Sta83,Sta39,1740
Sta157,Sta35,2520
Sta155,Sta98,1800
Sta5,Sta48,1560
Sta138,Sta162,1740
Sta49,Sta142,15900
Sta149,Sta125,7020
Sta137,Sta31,1020
Sta136,Sta122,2700
Sta100,Sta49,4140
Sta156,Sta27,1800
Sta41,Sta119,1320
Sta168,Sta55,1560
Sta127,Sta155,1800
Sta46,Sta92,1020
Sta7,Sta88,1020
Sta116,Sta15,1500
Sta9,Sta25,1620
Sta76,Sta23,3180
Sta82,Sta143,5640
Sta20,Sta100,1320
Sta83,Sta131,1680
Sta17,Sta119,3480
Sta72,Sta32,1080
Sta69,Sta135,1140
Sta30,Sta3,1260
Sta40,Sta39,1260
Sta91,Sta148,1020
Sta15,Sta137,1620
Sta7,Sta18,4560
Sta44,Sta135,1020
Sta121,Sta126,1800
Sta105,Sta155,1020
Sta12,Sta156,1080
Sta135,Sta53,1800
Sta127,Sta100,2100
Sta109,Sta16,3600
Sta1,Sta113,2040
Sta46,Sta104,4200
Sta104,Sta83,1800
Sta147,Sta11,1860
Sta74,Sta123,2460
Sta119,Sta70,3600
Sta21,Sta80,1800
Sta44,Sta89,2460
Sta85,Sta89,1800
Sta129,Sta42,3300
Sta75,Sta39,3600
Sta142,Sta39,1020
Sta120,Sta168,1980
Sta100,Sta64,2460
Sta16,Sta114,1260
Sta148,Sta30,1380
Sta5,Sta86,1080
Sta142,Sta81,1800
Sta129,Sta46,1020
Sta48,Sta97,2220
Sta126,Sta84,1320
Sta6,Sta136,3900
Sta39,Sta16,2100
Sta4,Sta67,1800
Sta108,Sta42,3480
Sta117,Sta109,1020
Sta136,Sta160,3900
Sta118,Sta156,3300
Sta155,Sta129,1800
Sta76,Sta64,2460
Sta111,Sta49,6780
Sta84,Sta133,2520
Sta54,Sta81,2280
Sta87,Sta122,3060
Sta130,Sta25,1260
Sta111,Sta115,1320
Sta129,Sta133,11400
Sta89,Sta59,1800
Sta40,Sta72,1320
Sta146,Sta66,2520
Sta31,Sta132,1200
Sta162,Sta15,1020
Sta144,Sta138,1020
Sta112,Sta99,6420
Sta99,Sta5,3540
Sta115,Sta22,1560
Sta42,Sta138,3600
Sta123,Sta111,2820
Sta151,Sta129,1800
Sta86,Sta135,1020
Sta89,Sta12,2940
Sta118,Sta164,1560
Sta145,Sta135,1320
Sta31,Sta88,2640
Sta53,Sta5,1020
Sta151,Sta48,1800
Sta139,Sta48,1080
Sta67,Sta98,1020
Sta46,Sta75,3060
Sta165,Sta63,2580
Sta32,Sta39,1800
Sta81,Sta55,2640
Sta142,Sta29,1680
Sta55,Sta133,2760
Sta121,Sta155,1800
Sta133,Sta100,2340
Sta5,Sta81,1020
Sta56,Sta100,1140
Sta15,Sta153,3120
Sta16,Sta5,1860
Sta44,Sta83,3060
Sta28,Sta131,3660
Sta36,Sta146,3660
Sta3,Sta5,1020
Sta37,Sta130,2940
Sta47,Sta112,4260
Sta88,Sta17,2340
Sta85,Sta114,1020
Sta99,Sta12,4920
Sta63,Sta78,1200
Sta89,Sta68,1800
Sta100,Sta21,2460
Sta26,Sta15,1020
Sta7,Sta31,3240
Sta36,Sta166,1020
Sta104,Sta4,5940
Sta9,Sta120,1800
Sta130,Sta79,2460
Sta55,Sta17,1020
Sta92,Sta72,1020
Sta86,Sta104,4320
Sta81,Sta162,1800
Sta38,Sta136,11940
Sta142,Sta156,4500
Sta7,Sta135,2340
Sta75,Sta4,1800
Sta146,Sta20,1800
Sta130,Sta6,4260
Sta89,Sta119,1800
Sta36,Sta90,2040
Sta103,Sta61,4980
Sta138,Sta64,2100
Sta78,Sta135,1740
Sta42,Sta118,2640
Sta82,Sta125,4080
Sta22,Sta119,1020
Sta59,Sta148,3420
Sta21,Sta119,1020
Sta20,Sta29,1020
Sta104,Sta30,1800
Sta146,Sta101,2640
Sta154,Sta98,1260
Sta96,Sta43,1020
Sta1,Sta130,1380
Sta54,Sta16,1020
Sta141,Sta146,2700
Sta97,Sta34,1080
Sta129,Sta56,1680
Sta107,Sta4,3300
Sta118,Sta22,1860
Sta89,Sta8,3480
Sta22,Sta89,1800
Sta83,Sta78,1020
Sta55,Sta3,1980
Sta56,Sta28,1800
Sta24,Sta98,1800
Sta141,Sta52,3540
Sta31,Sta3,1920
Sta4,Sta129,2640
Sta123,Sta61,1800
Sta25,Sta135,1740
Sta72,Sta124,3840
Sta16,Sta72,2100
Sta132,Sta90,1260
Sta64,Sta80,1800
Sta30,Sta76,2640
Sta34,Sta81,2400
Sta123,Sta55,2400
Sta50,Sta107,2880
Sta34,Sta72,1800
Sta154,Sta41,1980
Sta2,Sta88,1020
Sta49,Sta137,6180
Sta91,Sta120,1740
Sta101,Sta62,1920
Sta21,Sta40,1980
Sta113,Sta44,1020
Sta48,Sta115,1980
Sta40,Sta112,1800
Sta77,Sta23,1320
Sta133,Sta9,2160
Sta91,Sta20,2520
Sta15,Sta27,2220
Sta86,Sta32,1320
Sta168,Sta158,1500
Sta133,Sta142,3120
Sta31,Sta14,3660
Sta120,Sta56,2220
Sta149,Sta134,4740
Sta93,Sta31,1920
Sta32,Sta54,2640
Sta4,Sta26,1500
Sta87,Sta106,5640
Sta168,Sta26,1020
Sta18,Sta63,1260
Sta15,Sta95,1800
Sta53,Sta27,1320
Sta98,Sta104,3720
Sta146,Sta15,1200
Sta17,Sta144,1740
Sta108,Sta78,1020
Sta89,Sta39,1920
Sta54,Sta70,1020
Sta144,Sta115,1020
Sta29,Sta27,1440
Sta59,Sta67,2820
Sta16,Sta40,1260
Sta153,Sta112,1560
Sta118,Sta71,3540
Sta44,Sta6,2100
Sta84,Sta141,1020
Sta12,Sta39,1800
Sta6,Sta111,1440
Sta140,Sta152,1020
Sta53,Sta100,1560
Sta76,Sta107,1800
Sta35,Sta129,3780
Sta7,Sta98,3660
Sta41,Sta101,2700
Sta39,Sta67,1440
Sta84,Sta99,2880
Sta27,Sta167,2640
Sta103,Sta141,1800
Sta48,Sta71,1020
Sta156,Sta72,3000
Sta47,Sta101,2520
Sta82,Sta136,2220
Sta95,Sta115,1020
Sta163,Sta32,2160
Sta70,Sta163,2400
Sta148,Sta36,5040
Sta142,Sta47,2400
Sta20,Sta111,1020
Sta81,Sta157,2760
Sta4,Sta108,3300
Sta157,Sta100,1200
Sta163,Sta66,5280
Sta162,Sta96,1620
Sta5,Sta65,1800
Sta61,Sta54,3660
Sta160,Sta64,4980
Sta142,Sta21,3180
Sta142,Sta86,1620
Sta142,Sta76,3720
Sta159,Sta133,1440
Sta28,Sta137,1800
Sta93,Sta108,1860
Sta157,Sta42,2460
Sta109,Sta66,5400
Sta34,Sta127,1800
Sta78,Sta118,1080
Sta72,Sta147,2280
Sta129,Sta99,4020
Sta98,Sta110,1980
Sta115,Sta168,1020
Sta139,Sta119,1800
Sta167,Sta162,1140
Sta31,Sta129,2280
Sta99,Sta15,3120
Sta85,Sta101,1920
Sta42,Sta93,2640
Sta59,Sta5,2220
Sta70,Sta136,1800
Sta90,Sta26,1200
Sta141,Sta73,3480
Sta9,Sta130,2220
Sta153,Sta109,1020
Sta59,Sta115,1260
Sta46,Sta67,1440
Sta117,Sta134,1680
Sta100,Sta146,2160
Sta54,Sta84,1140
Sta66,Sta149,4800
Sta62,Sta31,1800
Sta130,Sta95,1740
Sta92,Sta107,1980
Sta142,Sta88,2040
Sta113,Sta139,4440
Sta12,Sta74,4260
Sta160,Sta84,2340
Sta81,Sta39,2100
Sta35,Sta11,1380
Sta95,Sta136,1800
Sta119,Sta66,1020
Sta23,Sta2,1500
Sta162,Sta98,1020
Sta120,Sta90,2160
Sta79,Sta44,2820
Sta138,Sta12,1020
Sta88,Sta86,2460
Sta88,Sta158,1860
Sta8,Sta152,1080
Sta118,Sta123,11940
Sta77,Sta63,2640
Sta63,Sta33,3960
Sta30,Sta151,1800
Sta40,Sta123,1500
Sta70,Sta166,1620
Sta87,Sta72,2520
Sta33,Sta112,1020
Sta5,Sta91,1320
Sta3,Sta88,2820
Sta109,Sta7,1080
Sta52,Sta71,1020
Sta119,Sta87,5220
Sta59,Sta79,1800
Sta147,Sta113,1020
Sta49,Sta125,13080
Sta114,Sta142,1200
Sta96,Sta54,1260
Sta145,Sta131,2160
Sta132,Sta50,4380
Sta88,Sta148,4140
Sta149,Sta74,1020
Sta126,Sta77,1800
Sta110,Sta141,3720
Sta5,Sta20,1440
Sta55,Sta54,1020
Sta20,Sta73,1800
Sta15,Sta108,1620
Sta68,Sta56,2760
Sta110,Sta30,1800
Sta120,Sta104,4920
Sta98,Sta23,1140
Sta53,Sta92,2280
Sta90,Sta16,1020
Sta3,Sta83,1440
Sta26,Sta112,3660
Sta97,Sta150,540
Sta118,Sta81,1800
Sta99,Sta123,4080
Sta136,Sta135,1740
Sta33,Sta108,4320
Sta9,Sta46,1260
Sta129,Sta66,2400
Sta87,Sta33,1020
Sta144,Sta146,1800
Sta1,Sta82,3000
Sta155,Sta40,1800
Sta29,Sta167,1200
Sta132,Sta75,3120
Sta63,Sta167,1260
Sta31,Sta32,2580
Sta69,Sta146,2220
Sta104,Sta109,6840
Sta100,Sta121,3000
Sta113,Sta12,3240
Sta124,Sta122,1020
Sta12,Sta63,1800
Sta107,Sta119,2880
Sta94,Sta89,3360
Sta76,Sta125,6360
Sta31,Sta92,2160
Sta135,Sta141,1020
Sta144,Sta67,1080
Sta86,Sta130,1080
Sta159,Sta69,2040
Sta112,Sta95,2940
Sta141,Sta144,2100
Sta28,Sta129,4500
Sta68,Sta40,2340
Sta166,Sta27,4680
Sta123,Sta100,1920
Sta97,Sta86,2520
Sta149,Sta130,4200
Sta129,Sta125,4560
Sta102,Sta81,5460
Sta64,Sta25,2280
Sta91,Sta162,1800
Sta14,Sta63,10860
Sta144,Sta60,1800
Sta23,Sta28,1800
Sta68,Sta122,4440
Sta5,Sta123,1020
Sta168,Sta37,1800
Sta20,Sta8,1800
Sta51,Sta9,1800
Sta43,Sta115,1680
Sta138,Sta65,1800
Sta118,Sta154,1980
Sta93,Sta113,1320
Sta15,Sta17,1140
Sta46,Sta55,1680
Sta139,Sta160,5760
Sta94,Sta95,1800
Sta107,Sta155,3360
Sta148,Sta46,1860
Sta63,Sta145,2280
Sta76,Sta57,15120
Sta141,Sta13,1800
Sta23,Sta114,1020
Sta166,Sta118,2460
Sta120,Sta101,3000
Sta50,Sta23,3180
Sta95,Sta129,1200
Sta65,Sta109,1800
Sta95,Sta157,1020
Sta70,Sta114,1260
Sta160,Sta41,3600
Sta70,Sta148,3600
Sta2,Sta12,3780
Sta101,Sta129,3120
Sta56,Sta76,2880
Sta38,Sta114,1920
Sta154,Sta70,3420
Sta93,Sta41,1020
Sta66,Sta115,2340
Sta76,Sta163,1800
Sta122,Sta162,2100
Sta21,Sta20,2640
Sta7,Sta44,2100
Sta111,Sta4,3060
Sta50,Sta65,5340
Sta27,Sta113,2940
Sta139,Sta163,1800
Sta156,Sta122,5160
Sta25,Sta137,2700
Sta84,Sta22,2280
Sta20,Sta42,2820
Sta117,Sta121,1740
Sta131,Sta61,3120
Sta41,Sta137,2880
Sta30,Sta92,1020
Sta91,Sta88,3720
Sta42,Sta78,3120
Sta7,Sta87,1020
Sta89,Sta158,1800
Sta118,Sta53,1380
Sta9,Sta160,1800
Sta19,Sta134,1020
Sta115,Sta28,1800
Sta72,Sta73,1980
Sta120,Sta134,1800
Sta107,Sta51,1800
Sta100,Sta95,1020
Sta108,Sta6,4680
Sta30,Sta35,1800
Sta30,Sta68,2400
Sta72,Sta157,1020
Sta100,Sta88,2040
Sta86,Sta37,1800
Sta19,Sta26,1140
Sta87,Sta157,1800
Sta40,Sta14,1800
Sta139,Sta54,4740
Sta159,Sta64,1020
Sta77,Sta40,2220
Sta23,Sta14,3420
Sta15,Sta25,1020
Sta72,Sta23,1380
Sta134,Sta36,2820
Sta77,Sta162,1920
Sta114,Sta141,1140
Sta114,Sta79,1560
Sta120,Sta65,4560
Sta126,Sta60,2280
Sta68,Sta78,1740
Sta114,Sta3,1020
Sta72,Sta5,1440
Sta5,Sta158,11040
Sta56,Sta123,1860
Sta83,Sta146,1920
Sta55,Sta141,1680
Sta164,Sta140,1020
Sta22,Sta61,10620
Sta31,Sta67,1800
Sta69,Sta63,1680
Sta15,Sta129,1020
Sta123,Sta49,1800
Sta66,Sta5,1740
Sta23,Sta42,2580
Sta129,Sta140,2880
Sta122,Sta86,2520
Sta83,Sta141,2640
Sta158,Sta108,2880
Sta62,Sta8,3540
Sta135,Sta32,1800
Sta3,Sta46,1380
Sta92,Sta81,2940
Sta157,Sta164,2700
Sta56,Sta160,3000
Sta1,Sta12,1860
Sta7,Sta42,1440
Sta132,Sta135,1680
Sta90,Sta44,1560
Sta109,Sta89,1800
Sta126,Sta148,2340
Sta82,Sta114,1860
Sta55,Sta82,1020
Sta72,Sta122,2760
Sta158,Sta123,2880
Sta132,Sta25,2580
Sta50,Sta12,1020
Sta39,Sta53,1440
Sta94,Sta15,2400
Sta162,Sta120,1680
Sta159,Sta109,3780
Sta132,Sta95,1860
Sta56,Sta88,2460
Sta90,Sta146,1980
Sta110,Sta149,1080
Sta113,Sta151,3240
Sta108,Sta17,2220
Sta134,Sta123,14160
Sta109,Sta14,5100
