arrival,Stain,distin,departure,Staout,distout,time
Sta144,3号线,Dist6,Sta27,2号线,Dist2,30
Sta148,12号线,Dist2,Sta19,4号线,Dist8,30
Sta158,3号线,Dist5,Sta130,11号线,Dist6,30
Sta19,4号线,Dist8,Sta115,11号线,Dist5,30
Sta91,12号线,Dist6,Sta23,11号线,Dist5,30
Sta7,10号线,Dist5,Sta67,3号线,Dist6,30
Sta42,3号线,Dist5,Sta8,10号线,Dist5,30
Sta11,3号线,Dist5,Sta108,1号线,Dist1,30
Sta2,10号线,Dist5,Sta28,11号线,Dist10,30
Sta49,1号线,Dist3,Sta24,2号线,Dist6,30
Sta85,10号线,Dist5,Sta29,3号线,Dist8,30
Sta47,2号线,Dist1,Sta164,11号线,Dist5,30
Sta23,11号线,Dist5,Sta78,2号线,Dist1,30
Sta65,1号线,Dist3,Sta23,11号线,Dist5,30
Sta131,3号线,Dist5,Sta3,11号线,Dist6,30
Sta115,11号线,Dist5,Sta8,10号线,Dist5,30
Sta62,4号线,Dist8,Sta56,11号线,Dist5,30
Sta70,11号线,Dist5,Sta59,4号线,Dist8,30
Sta10,5号线,Dist5,Sta73,12号线,Dist2,30
Sta69,5号线,Dist5,Sta161,3号线,Dist7,30
Sta152,11号线,Dist1,Sta1,1号线,Dist1,30
Sta50,3号线,Dist7,Sta110,1号线,Dist3,30
Sta72,12号线,Dist6,Sta49,1号线,Dist3,30
Sta59,4号线,Dist8,Sta46,11号线,Dist8,30
Sta115,11号线,Dist5,Sta102,10号线,Dist5,30
Sta114,10号线,Dist5,Sta91,12号线,Dist6,30
Sta63,11号线,Dist1,Sta71,2号线,Dist4,30
Sta112,3号线,Dist5,Sta114,10号线,Dist5,30
Sta12,3号线,Dist7,Sta34,1号线,Dist3,30
Sta107,1号线,Dist2,Sta52,2号线,Dist4,30
Sta74,1号线,Dist3,Sta23,11号线,Dist5,30
Sta163,2号线,Dist1,Sta100,3号线,Dist5,30
Sta57,2号线,Dist4,Sta21,3号线,Dist7,30
Sta17,12号线,Dist8,Sta78,2号线,Dist1,30
Sta112,3号线,Dist5,Sta2,10号线,Dist5,30
Sta109,3号线,Dist5,Sta145,10号线,Dist5,30
Sta25,11号线,Dist6,Sta59,4号线,Dist8,30
Sta43,5号线,Dist5,Sta29,3号线,Dist8,30
Sta28,11号线,Dist10,Sta109,3号线,Dist5,30
Sta89,1号线,Dist3,Sta60,12号线,Dist2,30
Sta65,1号线,Dist3,Sta137,12号线,Dist3,30
Sta130,11号线,Dist6,Sta68,2号线,Dist4,30
Sta55,11号线,Dist5,Sta49,1号线,Dist3,30
Sta77,11号线,Dist10,Sta90,12号线,Dist5,30
Sta92,12号线,Dist6,Sta113,3号线,Dist5,30
Sta33,3号线,Dist5,Sta9,2号线,Dist1,30
Sta121,3号线,Dist5,Sta97,1号线,Dist3,30
Sta107,1号线,Dist2,Sta111,11号线,Dist5,30
Sta29,3号线,Dist8,Sta13,11号线,Dist5,30
Sta68,2号线,Dist4,Sta37,5号线,Dist5,30
Sta50,3号线,Dist7,Sta48,2号线,Dist2,30
Sta2,10号线,Dist5,Sta141,3号线,Dist5,30
Sta27,2号线,Dist2,Sta66,3号线,Dist7,30
Sta119,3号线,Dist7,Sta19,4号线,Dist8,30
Sta50,3号线,Dist7,Sta31,12号线,Dist8,30
Sta118,11号线,Dist5,Sta10,5号线,Dist5,30
Sta133,3号线,Dist6,Sta93,12号线,Dist6,30
Sta81,2号线,Dist2,Sta137,12号线,Dist3,30
Sta39,3号线,Dist5,Sta28,11号线,Dist10,30
Sta122,11号线,Dist10,Sta112,3号线,Dist5,30
Sta141,3号线,Dist5,Sta53,2号线,Dist1,30
Sta60,12号线,Dist2,Sta79,2号线,Dist1,30
Sta97,1号线,Dist3,Sta3,11号线,Dist6,30
Sta52,2号线,Dist4,Sta144,3号线,Dist6,30
Sta135,10号线,Dist5,Sta124,11号线,Dist10,30
Sta92,12号线,Dist6,Sta118,11号线,Dist5,30
Sta167,3号线,Dist5,Sta16,5号线,Dist5,30
Sta154,1号线,Dist3,Sta111,11号线,Dist5,30
Sta101,12号线,Dist8,Sta144,3号线,Dist6,30
Sta93,12号线,Dist6,Sta37,5号线,Dist5,30
Sta87,10号线,Dist8,Sta21,3号线,Dist7,30
Sta29,3号线,Dist8,Sta157,10号线,Dist8,30
Sta82,11号线,Dist5,Sta141,3号线,Dist5,30
Sta26,12号线,Dist5,Sta44,3号线,Dist5,30
Sta74,1号线,Dist3,Sta105,2号线,Dist4,30
Sta110,1号线,Dist3,Sta85,10号线,Dist5,30
Sta2,10号线,Dist5,Sta58,4号线,Dist8,30
Sta124,11号线,Dist10,Sta57,2号线,Dist4,30
Sta145,10号线,Dist5,Sta15,11号线,Dist8,30
Sta80,1号线,Dist3,Sta23,11号线,Dist5,30
Sta160,10号线,Dist5,Sta153,3号线,Dist5,30
Sta165,4号线,Dist8,Sta11,3号线,Dist5,30
Sta64,1号线,Dist3,Sta90,12号线,Dist5,30
Sta110,1号线,Dist3,Sta140,11号线,Dist5,30
Sta69,5号线,Dist5,Sta147,3号线,Dist5,30
Sta18,2号线,Dist1,Sta137,12号线,Dist3,30
Sta83,1号线,Dist2,Sta36,11号线,Dist10,30
Sta109,3号线,Dist5,Sta111,11号线,Dist5,30
Sta25,11号线,Dist6,Sta116,12号线,Dist6,30
Sta75,10号线,Dist5,Sta44,3号线,Dist5,30
Sta107,1号线,Dist2,Sta136,12号线,Dist3,30
Sta90,12号线,Dist5,Sta149,1号线,Dist3,30
Sta107,1号线,Dist2,Sta148,12号线,Dist2,30
Sta149,1号线,Dist3,Sta18,2号线,Dist1,30
Sta103,10号线,Dist5,Sta33,3号线,Dist5,30
Sta53,2号线,Dist1,Sta150,1号线,Dist3,30
Sta118,11号线,Dist5,Sta64,1号线,Dist3,30
Sta80,1号线,Dist3,Sta37,5号线,Dist5,30
Sta118,11号线,Dist5,Sta127,2号线,Dist2,31
Sta82,11号线,Dist5,Sta40,3号线,Dist5,31
Sta29,3号线,Dist8,Sta93,12号线,Dist6,31
Sta137,12号线,Dist3,Sta85,10号线,Dist5,31
Sta13,11号线,Dist5,Sta157,10号线,Dist8,31
Sta25,11号线,Dist6,Sta148,12号线,Dist2,31
Sta25,11号线,Dist6,Sta133,3号线,Dist6,31
Sta21,3号线,Dist7,Sta72,12号线,Dist6,31
Sta23,11号线,Dist5,Sta123,2号线,Dist2,31
Sta108,1号线,Dist1,Sta21,3号线,Dist7,31
Sta127,2号线,Dist2,Sta130,11号线,Dist6,31
Sta78,2号线,Dist1,Sta84,4号线,Dist5,31
Sta4,10号线,Dist5,Sta63,11号线,Dist1,31
Sta120,11号线,Dist6,Sta47,2号线,Dist1,31
Sta4,10号线,Dist5,Sta46,11号线,Dist8,31
Sta141,3号线,Dist5,Sta86,11号线,Dist8,31
Sta159,1号线,Dist1,Sta54,5号线,Dist5,31
Sta152,11号线,Dist1,Sta26,12号线,Dist5,31
Sta53,2号线,Dist1,Sta89,1号线,Dist3,31
Sta44,3号线,Dist5,Sta72,12号线,Dist6,31
Sta44,3号线,Dist5,Sta86,11号线,Dist8,31
Sta63,11号线,Dist1,Sta73,12号线,Dist2,31
Sta44,3号线,Dist5,Sta114,10号线,Dist5,31
Sta127,2号线,Dist2,Sta95,12号线,Dist5,31
Sta41,3号线,Dist6,Sta90,12号线,Dist5,31
Sta57,2号线,Dist4,Sta108,1号线,Dist1,31
Sta163,2号线,Dist1,Sta138,3号线,Dist6,31
Sta95,12号线,Dist5,Sta138,3号线,Dist6,31
Sta83,1号线,Dist2,Sta114,10号线,Dist5,31
Sta118,11号线,Dist5,Sta22,3号线,Dist6,31
Sta93,12号线,Dist6,Sta108,1号线,Dist1,31
Sta88,10号线,Dist5,Sta158,3号线,Dist5,31
Sta148,12号线,Dist2,Sta46,11号线,Dist8,31
Sta56,11号线,Dist5,Sta123,2号线,Dist2,31
Sta1,1号线,Dist1,Sta12,3号线,Dist7,31
Sta82,11号线,Dist5,Sta114,10号线,Dist5,31
Sta132,5号线,Dist5,Sta95,12号线,Dist5,31
Sta66,3号线,Dist7,Sta91,12号线,Dist6,31
Sta130,11号线,Dist6,Sta138,3号线,Dist6,31
Sta26,12号线,Dist5,Sta58,4号线,Dist8,31
Sta127,2号线,Dist2,Sta114,10号线,Dist5,31
Sta15,11号线,Dist8,Sta30,3号线,Dist6,31
Sta4,10号线,Dist5,Sta31,12号线,Dist8,31
Sta115,11号线,Dist5,Sta21,3号线,Dist7,31
Sta86,11号线,Dist8,Sta154,1号线,Dist3,31
Sta91,12号线,Dist6,Sta115,11号线,Dist5,31
Sta110,1号线,Dist3,Sta18,2号线,Dist1,31
Sta88,10号线,Dist5,Sta152,11号线,Dist1,31
Sta9,2号线,Dist1,Sta93,12号线,Dist6,31
Sta162,11号线,Dist5,Sta22,3号线,Dist6,31
Sta12,3号线,Dist7,Sta159,1号线,Dist1,31
Sta97,1号线,Dist3,Sta81,2号线,Dist2,31
Sta90,12号线,Dist5,Sta129,2号线,Dist1,31
Sta107,1号线,Dist2,Sta15,11号线,Dist8,31
Sta83,1号线,Dist2,Sta133,3号线,Dist6,31
Sta55,11号线,Dist5,Sta53,2号线,Dist1,31
Sta83,1号线,Dist2,Sta76,2号线,Dist4,31
Sta114,10号线,Dist5,Sta9,2号线,Dist1,31
Sta130,11号线,Dist6,Sta157,10号线,Dist8,31
Sta43,5号线,Dist5,Sta70,11号线,Dist5,31
Sta39,3号线,Dist5,Sta132,5号线,Dist5,31
Sta53,2号线,Dist1,Sta3,11号线,Dist6,31
Sta110,1号线,Dist3,Sta127,2号线,Dist2,31
Sta92,12号线,Dist6,Sta83,1号线,Dist2,31
Sta97,1号线,Dist3,Sta79,2号线,Dist1,31
Sta116,12号线,Dist6,Sta126,3号线,Dist1,31
Sta86,11号线,Dist8,Sta103,10号线,Dist5,31
Sta54,5号线,Dist5,Sta59,4号线,Dist8,31
Sta46,11号线,Dist8,Sta37,5号线,Dist5,31
Sta46,11号线,Dist8,Sta60,12号线,Dist2,31
Sta161,3号线,Dist7,Sta47,2号线,Dist1,31
Sta2,10号线,Dist5,Sta158,3号线,Dist5,31
Sta94,10号线,Dist5,Sta125,3号线,Dist5,31
Sta11,3号线,Dist5,Sta88,10号线,Dist5,31
Sta120,11号线,Dist6,Sta159,1号线,Dist1,31
Sta163,2号线,Dist1,Sta64,1号线,Dist3,31
Sta69,5号线,Dist5,Sta53,2号线,Dist1,31
Sta56,11号线,Dist5,Sta92,12号线,Dist6,31
Sta107,1号线,Dist2,Sta133,3号线,Dist6,31
Sta123,2号线,Dist2,Sta39,3号线,Dist5,31
Sta38,4号线,Dist8,Sta168,10号线,Dist5,31
Sta103,10号线,Dist5,Sta72,12号线,Dist6,31
Sta156,3号线,Dist7,Sta57,2号线,Dist4,31
Sta150,1号线,Dist3,Sta163,2号线,Dist1,31
Sta163,2号线,Dist1,Sta15,11号线,Dist8,31
Sta82,11号线,Dist5,Sta16,5号线,Dist5,31
Sta142,3号线,Dist5,Sta59,4号线,Dist8,31
Sta18,2号线,Dist1,Sta135,10号线,Dist5,31
Sta167,3号线,Dist5,Sta78,2号线,Dist1,31
Sta164,11号线,Dist5,Sta6,10号线,Dist5,31
Sta140,11号线,Dist5,Sta114,10号线,Dist5,31
Sta150,1号线,Dist3,Sta151,2号线,Dist2,31
Sta113,3号线,Dist5,Sta54,5号线,Dist5,31
Sta46,11号线,Dist8,Sta21,3号线,Dist7,31
Sta48,2号线,Dist2,Sta144,3号线,Dist6,31
Sta39,3号线,Dist5,Sta92,12号线,Dist6,31
Sta58,4号线,Dist8,Sta85,10号线,Dist5,31
Sta96,5号线,Dist5,Sta70,11号线,Dist5,31
Sta145,10号线,Dist5,Sta42,3号线,Dist5,31
Sta44,3号线,Dist5,Sta168,10号线,Dist5,31
Sta144,3号线,Dist6,Sta3,11号线,Dist6,31
Sta164,11号线,Dist5,Sta69,5号线,Dist5,31
Sta24,2号线,Dist6,Sta50,3号线,Dist7,31
Sta39,3号线,Dist5,Sta107,1号线,Dist2,32
Sta40,3号线,Dist5,Sta32,12号线,Dist6,32
Sta63,11号线,Dist1,Sta31,12号线,Dist8,32
Sta95,12号线,Dist5,Sta111,11号线,Dist5,32
Sta107,1号线,Dist2,Sta25,11号线,Dist6,32
Sta146,11号线,Dist6,Sta84,4号线,Dist5,32
Sta158,3号线,Dist5,Sta94,10号线,Dist5,32
Sta59,4号线,Dist8,Sta3,11号线,Dist6,32
Sta13,11号线,Dist5,Sta10,5号线,Dist5,32
Sta1,1号线,Dist1,Sta52,2号线,Dist4,32
Sta95,12号线,Dist5,Sta144,3号线,Dist6,32
Sta80,1号线,Dist3,Sta29,3号线,Dist8,32
Sta108,1号线,Dist1,Sta95,12号线,Dist5,32
Sta136,12号线,Dist3,Sta168,10号线,Dist5,32
Sta135,10号线,Dist5,Sta146,11号线,Dist6,32
Sta126,3号线,Dist1,Sta19,4号线,Dist8,32
Sta137,12号线,Dist3,Sta82,11号线,Dist5,32
Sta31,12号线,Dist8,Sta3,11号线,Dist6,32
Sta101,12号线,Dist8,Sta62,4号线,Dist8,32
Sta89,1号线,Dist3,Sta39,3号线,Dist5,32
Sta85,10号线,Dist5,Sta101,12号线,Dist8,32
Sta123,2号线,Dist2,Sta100,3号线,Dist5,32
Sta38,4号线,Dist8,Sta114,10号线,Dist5,32
Sta83,1号线,Dist2,Sta146,11号线,Dist6,32
Sta80,1号线,Dist3,Sta27,2号线,Dist2,32
Sta131,3号线,Dist5,Sta154,1号线,Dist3,32
Sta134,10号线,Dist5,Sta132,5号线,Dist5,32
Sta156,3号线,Dist7,Sta52,2号线,Dist4,32
Sta23,11号线,Dist5,Sta158,3号线,Dist5,32
Sta88,10号线,Dist5,Sta95,12号线,Dist5,32
Sta103,10号线,Dist5,Sta62,4号线,Dist8,32
Sta114,10号线,Dist5,Sta123,2号线,Dist2,32
Sta47,2号线,Dist1,Sta90,12号线,Dist5,32
Sta70,11号线,Dist5,Sta141,3号线,Dist5,32
Sta140,11号线,Dist5,Sta29,3号线,Dist8,32
Sta159,1号线,Dist1,Sta76,2号线,Dist4,32
Sta123,2号线,Dist2,Sta138,3号线,Dist6,32
Sta2,10号线,Dist5,Sta31,12号线,Dist8,32
Sta163,2号线,Dist1,Sta25,11号线,Dist6,32
Sta118,11号线,Dist5,Sta62,4号线,Dist8,32
Sta158,3号线,Dist5,Sta59,4号线,Dist8,32
Sta61,3号线,Dist7,Sta57,2号线,Dist4,32
Sta132,5号线,Dist5,Sta29,3号线,Dist8,32
Sta20,11号线,Dist5,Sta129,2号线,Dist1,32
Sta16,5号线,Dist5,Sta100,3号线,Dist5,32
Sta152,11号线,Dist1,Sta17,12号线,Dist8,32
Sta86,11号线,Dist8,Sta137,12号线,Dist3,32
Sta38,4号线,Dist8,Sta135,10号线,Dist5,32
Sta144,3号线,Dist6,Sta148,12号线,Dist2,32
Sta158,3号线,Dist5,Sta31,12号线,Dist8,32
Sta54,5号线,Dist5,Sta53,2号线,Dist1,32
Sta91,12号线,Dist6,Sta119,3号线,Dist7,32
Sta140,11号线,Dist5,Sta101,12号线,Dist8,32
Sta111,11号线,Dist5,Sta94,10号线,Dist5,32
Sta135,10号线,Dist5,Sta163,2号线,Dist1,32
Sta4,10号线,Dist5,Sta56,11号线,Dist5,32
Sta135,10号线,Dist5,Sta47,2号线,Dist1,32
Sta90,12号线,Dist5,Sta122,11号线,Dist10,32
Sta86,11号线,Dist8,Sta101,12号线,Dist8,32
Sta41,3号线,Dist6,Sta157,10号线,Dist8,32
Sta117,3号线,Dist5,Sta115,11号线,Dist5,32
Sta101,12号线,Dist8,Sta141,3号线,Dist5,32
Sta90,12号线,Dist5,Sta38,4号线,Dist8,32
Sta140,11号线,Dist5,Sta84,4号线,Dist5,32
Sta82,11号线,Dist5,Sta90,12号线,Dist5,32
Sta147,3号线,Dist5,Sta160,10号线,Dist5,32
Sta48,2号线,Dist2,Sta64,1号线,Dist3,32
Sta131,3号线,Dist5,Sta137,12号线,Dist3,32
Sta163,2号线,Dist1,Sta72,12号线,Dist6,32
Sta129,2号线,Dist1,Sta91,12号线,Dist6,32
Sta112,3号线,Dist5,Sta7,10号线,Dist5,32
Sta131,3号线,Dist5,Sta25,11号线,Dist6,32
Sta122,11号线,Dist10,Sta26,12号线,Dist5,32
Sta46,11号线,Dist8,Sta79,2号线,Dist1,32
Sta86,11号线,Dist8,Sta53,2号线,Dist1,32
Sta4,10号线,Dist5,Sta158,3号线,Dist5,32
Sta80,1号线,Dist3,Sta78,2号线,Dist1,32
Sta95,12号线,Dist5,Sta78,2号线,Dist1,32
Sta163,2号线,Dist1,Sta146,11号线,Dist6,32
Sta158,3号线,Dist5,Sta85,10号线,Dist5,32
Sta25,11号线,Dist6,Sta79,2号线,Dist1,32
Sta85,10号线,Dist5,Sta3,11号线,Dist6,32
Sta101,12号线,Dist8,Sta46,11号线,Dist8,32
Sta161,3号线,Dist7,Sta93,12号线,Dist6,32
Sta37,5号线,Dist5,Sta140,11号线,Dist5,32
Sta119,3号线,Dist7,Sta32,12号线,Dist6,32
Sta66,3号线,Dist7,Sta32,12号线,Dist6,32
Sta55,11号线,Dist5,Sta79,2号线,Dist1,32
Sta159,1号线,Dist1,Sta92,12号线,Dist6,32
Sta132,5号线,Dist5,Sta101,12号线,Dist8,32
Sta80,1号线,Dist3,Sta18,2号线,Dist1,32
Sta50,3号线,Dist7,Sta139,2号线,Dist5,32
Sta26,12号线,Dist5,Sta82,11号线,Dist5,32
Sta163,2号线,Dist1,Sta118,11号线,Dist5,32
Sta133,3号线,Dist6,Sta18,2号线,Dist1,32
Sta41,3号线,Dist6,Sta150,1号线,Dist3,32
Sta90,12号线,Dist5,Sta147,3号线,Dist5,32
Sta112,3号线,Dist5,Sta103,10号线,Dist5,32
Sta79,2号线,Dist1,Sta133,3号线,Dist6,32
Sta165,4号线,Dist8,Sta17,12号线,Dist8,32
Sta6,10号线,Dist5,Sta13,11号线,Dist5,32
Sta8,10号线,Dist5,Sta140,11号线,Dist5,32
Sta84,4号线,Dist5,Sta88,10号线,Dist5,33
Sta20,11号线,Dist5,Sta123,2号线,Dist2,33
Sta68,2号线,Dist4,Sta63,11号线,Dist1,33
Sta123,2号线,Dist2,Sta25,11号线,Dist6,33
Sta148,12号线,Dist2,Sta86,11号线,Dist8,33
Sta140,11号线,Dist5,Sta89,1号线,Dist3,33
Sta120,11号线,Dist6,Sta127,2号线,Dist2,33
Sta68,2号线,Dist4,Sta126,3号线,Dist1,33
Sta29,3号线,Dist8,Sta97,1号线,Dist3,33
Sta136,12号线,Dist3,Sta126,3号线,Dist1,33
Sta86,11号线,Dist8,Sta21,3号线,Dist7,33
Sta58,4号线,Dist8,Sta23,11号线,Dist5,33
Sta107,1号线,Dist2,Sta56,11号线,Dist5,33
Sta89,1号线,Dist3,Sta19,4号线,Dist8,33
Sta142,3号线,Dist5,Sta101,12号线,Dist8,33
Sta134,10号线,Dist5,Sta109,3号线,Dist5,33
Sta114,10号线,Dist5,Sta107,1号线,Dist2,33
Sta89,1号线,Dist3,Sta163,2号线,Dist1,33
Sta96,5号线,Dist5,Sta89,1号线,Dist3,33
Sta117,3号线,Dist5,Sta157,10号线,Dist8,33
Sta63,11号线,Dist1,Sta141,3号线,Dist5,33
Sta122,11号线,Dist10,Sta54,5号线,Dist5,33
Sta55,11号线,Dist5,Sta144,3号线,Dist6,33
Sta164,11号线,Dist5,Sta114,10号线,Dist5,33
Sta136,12号线,Dist3,Sta59,4号线,Dist8,33
Sta130,11号线,Dist6,Sta108,1号线,Dist1,33
Sta136,12号线,Dist3,Sta40,3号线,Dist5,33
Sta89,1号线,Dist3,Sta131,3号线,Dist5,33
Sta136,12号线,Dist3,Sta167,3号线,Dist5,33
Sta72,12号线,Dist6,Sta161,3号线,Dist7,33
Sta2,10号线,Dist5,Sta101,12号线,Dist8,33
Sta36,11号线,Dist10,Sta17,12号线,Dist8,33
Sta120,11号线,Dist6,Sta168,10号线,Dist5,33
Sta154,1号线,Dist3,Sta41,3号线,Dist6,33
Sta48,2号线,Dist2,Sta115,11号线,Dist5,33
Sta92,12号线,Dist6,Sta107,1号线,Dist2,33
Sta118,11号线,Dist5,Sta154,1号线,Dist3,33
Sta90,12号线,Dist5,Sta146,11号线,Dist6,33
Sta115,11号线,Dist5,Sta64,1号线,Dist3,33
Sta167,3号线,Dist5,Sta53,2号线,Dist1,33
Sta84,4号线,Dist5,Sta32,12号线,Dist6,33
Sta29,3号线,Dist8,Sta25,11号线,Dist6,33
Sta27,2号线,Dist2,Sta40,3号线,Dist5,33
Sta56,11号线,Dist5,Sta41,3号线,Dist6,33
Sta100,3号线,Dist5,Sta13,11号线,Dist5,33
Sta158,3号线,Dist5,Sta118,11号线,Dist5,33
Sta13,11号线,Dist5,Sta136,12号线,Dist3,33
Sta79,2号线,Dist1,Sta3,11号线,Dist6,33
Sta77,11号线,Dist10,Sta54,5号线,Dist5,33
Sta40,3号线,Dist5,Sta150,1号线,Dist3,33
Sta22,3号线,Dist6,Sta114,10号线,Dist5,33
Sta144,3号线,Dist6,Sta134,10号线,Dist5,33
Sta1,1号线,Dist1,Sta69,5号线,Dist5,33
Sta128,1号线,Dist3,Sta47,2号线,Dist1,33
Sta96,5号线,Dist5,Sta15,11号线,Dist8,33
Sta53,2号线,Dist1,Sta64,1号线,Dist3,33
Sta163,2号线,Dist1,Sta167,3号线,Dist5,33
Sta123,2号线,Dist2,Sta22,3号线,Dist6,33
Sta42,3号线,Dist5,Sta95,12号线,Dist5,33
Sta151,2号线,Dist2,Sta64,1号线,Dist3,33
Sta63,11号线,Dist1,Sta59,4号线,Dist8,33
Sta47,2号线,Dist1,Sta54,5号线,Dist5,33
Sta48,2号线,Dist2,Sta67,3号线,Dist6,33
Sta69,5号线,Dist5,Sta168,10号线,Dist5,33
Sta72,12号线,Dist6,Sta9,2号线,Dist1,33
Sta140,11号线,Dist5,Sta134,10号线,Dist5,33
Sta87,10号线,Dist8,Sta113,3号线,Dist5,33
Sta75,10号线,Dist5,Sta36,11号线,Dist10,33
Sta92,12号线,Dist6,Sta168,10号线,Dist5,33
Sta162,11号线,Dist5,Sta145,10号线,Dist5,33
Sta20,11号线,Dist5,Sta165,4号线,Dist8,33
Sta75,10号线,Dist5,Sta23,11号线,Dist5,33
Sta63,11号线,Dist1,Sta161,3号线,Dist7,33
Sta157,10号线,Dist8,Sta159,1号线,Dist1,33
Sta129,2号线,Dist1,Sta12,3号线,Dist7,33
Sta6,10号线,Dist5,Sta112,3号线,Dist5,33
Sta60,12号线,Dist2,Sta86,11号线,Dist8,33
Sta154,1号线,Dist3,Sta22,3号线,Dist6,33
Sta144,3号线,Dist6,Sta110,1号线,Dist3,33
Sta167,3号线,Dist5,Sta13,11号线,Dist5,33
Sta130,11号线,Dist6,Sta22,3号线,Dist6,33
Sta167,3号线,Dist5,Sta92,12号线,Dist6,33
Sta131,3号线,Dist5,Sta37,5号线,Dist5,33
Sta88,10号线,Dist5,Sta39,3号线,Dist5,33
Sta90,12号线,Dist5,Sta88,10号线,Dist5,33
Sta165,4号线,Dist8,Sta103,10号线,Dist5,33
Sta32,12号线,Dist6,Sta129,2号线,Dist1,33
Sta4,10号线,Dist5,Sta42,3号线,Dist5,33
Sta150,1号线,Dist3,Sta9,2号线,Dist1,33
Sta140,11号线,Dist5,Sta137,12号线,Dist3,33
Sta22,3号线,Dist6,Sta95,12号线,Dist5,33
Sta163,2号线,Dist1,Sta39,3号线,Dist5,33
Sta37,5号线,Dist5,Sta100,3号线,Dist5,33
Sta111,11号线,Dist5,Sta168,10号线,Dist5,33
Sta60,12号线,Dist2,Sta15,11号线,Dist8,33
Sta7,10号线,Dist5,Sta33,3号线,Dist5,33
Sta122,11号线,Dist10,Sta75,10号线,Dist5,33
Sta26,12号线,Dist5,Sta29,3号线,Dist8,33
Sta44,3号线,Dist5,Sta59,4号线,Dist8,33
Sta162,11号线,Dist5,Sta43,5号线,Dist5,33
Sta111,11号线,Dist5,Sta132,5号线,Dist5,33
Sta35,3号线,Dist5,Sta4,10号线,Dist5,33
Sta130,11号线,Dist6,Sta144,3号线,Dist6,33
Sta142,3号线,Dist5,Sta2,10号线,Dist5,33
Sta138,3号线,Dist6,Sta114,10号线,Dist5,33
Sta137,12号线,Dist3,Sta111,11号线,Dist5,33
Sta12,3号线,Dist7,Sta3,11号线,Dist6,33
Sta144,3号线,Dist6,Sta97,1号线,Dist3,33
Sta118,11号线,Dist5,Sta133,3号线,Dist6,33
Sta101,12号线,Dist8,Sta157,10号线,Dist8,33
Sta62,4号线,Dist8,Sta72,12号线,Dist6,33
Sta22,3号线,Dist6,Sta18,2号线,Dist1,33
Sta56,11号线,Dist5,Sta19,4号线,Dist8,33
Sta29,3号线,Dist8,Sta111,11号线,Dist5,33
Sta53,2号线,Dist1,Sta22,3号线,Dist6,33
Sta73,12号线,Dist2,Sta81,2号线,Dist2,33
Sta161,3号线,Dist7,Sta105,2号线,Dist4,33
Sta2,10号线,Dist5,Sta38,4号线,Dist8,33
Sta130,11号线,Dist6,Sta134,10号线,Dist5,34
Sta136,12号线,Dist3,Sta132,5号线,Dist5,34
Sta25,11号线,Dist6,Sta54,5号线,Dist5,34
Sta23,11号线,Dist5,Sta41,3号线,Dist6,34
Sta78,2号线,Dist1,Sta110,1号线,Dist3,34
Sta147,3号线,Dist5,Sta115,11号线,Dist5,34
Sta40,3号线,Dist5,Sta64,1号线,Dist3,34
Sta21,3号线,Dist7,Sta83,1号线,Dist2,34
Sta106,1号线,Dist3,Sta123,2号线,Dist2,34
Sta32,12号线,Dist6,Sta61,3号线,Dist7,34
Sta129,2号线,Dist1,Sta106,1号线,Dist3,34
Sta12,3号线,Dist7,Sta78,2号线,Dist1,34
Sta135,10号线,Dist5,Sta130,11号线,Dist6,34
Sta120,11号线,Dist6,Sta30,3号线,Dist6,34
Sta12,3号线,Dist7,Sta108,1号线,Dist1,34
Sta97,1号线,Dist3,Sta126,3号线,Dist1,34
Sta123,2号线,Dist2,Sta34,1号线,Dist3,34
Sta40,3号线,Dist5,Sta130,11号线,Dist6,34
Sta97,1号线,Dist3,Sta67,3号线,Dist6,34
Sta62,4号线,Dist8,Sta126,3号线,Dist1,34
Sta64,1号线,Dist3,Sta9,2号线,Dist1,34
Sta88,10号线,Dist5,Sta167,3号线,Dist5,34
Sta127,2号线,Dist2,Sta66,3号线,Dist7,34
Sta134,10号线,Dist5,Sta111,11号线,Dist5,34
Sta90,12号线,Dist5,Sta67,3号线,Dist6,34
Sta157,10号线,Dist8,Sta67,3号线,Dist6,34
Sta32,12号线,Dist6,Sta167,3号线,Dist5,34
Sta46,11号线,Dist8,Sta137,12号线,Dist3,34
Sta1,1号线,Dist1,Sta113,3号线,Dist5,34
Sta36,11号线,Dist10,Sta90,12号线,Dist5,34
Sta142,3号线,Dist5,Sta88,10号线,Dist5,34
Sta159,1号线,Dist1,Sta69,5号线,Dist5,34
Sta100,3号线,Dist5,Sta88,10号线,Dist5,34
Sta157,10号线,Dist8,Sta120,11号线,Dist6,34
Sta146,11号线,Dist6,Sta60,12号线,Dist2,34
Sta15,11号线,Dist8,Sta53,2号线,Dist1,34
Sta131,3号线,Dist5,Sta111,11号线,Dist5,34
Sta130,11号线,Dist6,Sta84,4号线,Dist5,34
Sta80,1号线,Dist3,Sta163,2号线,Dist1,34
Sta148,12号线,Dist2,Sta146,11号线,Dist6,34
Sta72,12号线,Dist6,Sta78,2号线,Dist1,34
Sta125,3号线,Dist5,Sta160,10号线,Dist5,34
Sta10,5号线,Dist5,Sta89,1号线,Dist3,34
Sta32,12号线,Dist6,Sta118,11号线,Dist5,34
